"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_24998","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales",NA,NA
"ASV_24999","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Longispora"
"ASV_25000","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV_25001","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV_25002","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"ASV_25003","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA
"ASV_25004","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group"
"ASV_25005","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20",NA
"ASV_25006","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula"
"ASV_25007","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales",NA,NA
"ASV_25008","Bacteria","Gemmatimonadota","AKAU4049",NA,NA,NA
